c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard1.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard10.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard100.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard101.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard102.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard103.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard104.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard105.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard106.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard107.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard108.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard109.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard11.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard110.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard111.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard112.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard113.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard114.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard115.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard116.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard117.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard118.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard119.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard12.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard120.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard121.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard122.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard123.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard124.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard125.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard126.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard127.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard128.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard129.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard13.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard130.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard131.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard132.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard133.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard134.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard135.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard136.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard137.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard138.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard139.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard14.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard140.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard141.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard142.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard143.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard144.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard145.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard146.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard147.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard148.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard149.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard15.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard150.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard151.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard152.jpg,cardboard
c://recyclelevels-vcm/img/data/garbage classification/cardboard/cardboard153.jpg,cardboard
